name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
Abingdon battaile,place,0.97,place-type word in name; used elsewhere as a location,A,213.31.,"Abingdon battaile, one of the forest foughten fieldes that had bin hearde of in those dayes. 213.31.","Abingdon battaile, one of the foreſt foughten fieldes that had bin hearde of in thoſe dayes. 213.31."
Abingdon abbey,place,0.94,place-type word in name; used elsewhere as a location,A,230.54.,"Abingdon abbey buylded, and restored. 230.54.","Abingdon abbey buylded, and reſtored. 230.54."
Abingdon Abbey,place,0.97,place-type word in name; used elsewhere as a location,A,234.7.,"Abingdon Abbey finished, and set in good order. 234.7.","Abingdon Abbey finiſhed, and ſet in good order. 234.7."
Aburgalieny,uncertain,0.45,mixed signals: described by rank/office,A,1510.27. confesseth misprison of treason. 1519.45.,Aburgalieny Lord committed to the tower. 1510.27. confesseth misprison of treason. 1519.45.,Aburgalieny Lord committed to the tower. 1510.27. con|feſſeth miſpriſon of treaſon. 1519.45.
Aburgenny,person,0.85,described by rank/office,A,1725.20.,Aburgenny Lord distresseth the Kentishe rebels. 1725.20.,Aburgenny Lord diſtreſſeth the Kentiſhe rebels. 1725.20.
Alcluid Citie,place,0.97,place-type word in name; used elsewhere as a location,A,194.62.,Alcluid Citie. 194.62.,Alcluid Citie. 194.62.
Abirnethi,uncertain,0.2,"proper name, but no clear signal",A,307.68.,"Abirnethi, and the peace there concluded. 307.68.","Abirnethi, and the peace there concluded. 307.68."
Absolon,person,0.81,described by rank/office,A,382.97.,Absolon a Monke of Canterburie. 382.97.,Abſolon a Monke of Canter|burie. 382.97.
Acca,person,0.74,used elsewhere as a personal name,A,190 91.,Acca succeedeth Wilfride in the Bishoprick of Hexã. 190 91.,Acca ſucceedeth Wilfride in the Biſhoprick of Hexã. 190 91.
Act,uncertain,0.2,"proper name, but no clear signal",A,1040 10. b. repealed. 1042.23. a.,Act against fishemongers. 1040 10. b. repealed. 1042.23. a.,Act againſt fiſhemõgers. 1040 10. b. repealed. 1042.23. a.
Alcluid Citie,place,0.97,place-type word in name; used elsewhere as a location,A,211.54.,Alcluid Citie destroyed by the Danes. 211.54.,Alcluid Citie deſtroyed by the Danes. 211.54.
Achikelmeslawe,place,0.89,used elsewhere as a location,A,244.36.,"Achikelmeslawe, spoyled by the Danes. 244.36.","Achikelmeſlawe, ſpoyled by the Danes. 244.36."
Acca,person,0.95,used elsewhere as a personal name; kinship language,A,155.76.,"Acca, daughter to Alla, & sister to Edwine. 155.76.","Acca, daughter to Alla, & ſiſter to Edwine. 155.76."
Acce,place,0.81,contextual verb evidence,A,312.101.,"Acce of land, how many pearches it conteineth. 312.101.","Acce of land, how many pear|ches it conteineth. 312.101."
Achelnotus,person,0.91,described by rank/office; holds a title over a place,A,262.115.,"Achelnotus, Archbyshop of Cãtorbury. 262.115.","Achelnotus, Archbyſhop of Cã|torbury. 262.115."
Adelstan,person,0.91,described by rank/office; holds a title over a place,A,206.57.,"Adelstan, Byshop of Shirebourne. 206.57.","Adelſtan, Byſhop of Shire|bourne. 206.57."
Adelstane,person,0.97,used elsewhere as a personal name; kinship language,A,226.9.,"Adelstane putteth his Cupbearer to death, for accusing Edwyn, the kinges brother. 226.9.","Adelſtane putteth his Cupbea|rer to death, for accuſing Ed|wyn, the kinges brother. 226.9."
Adelstane,person,0.97,used elsewhere as a personal name,A,226.24.,"Adelstane leadeth an armie against Aulafe, lying nyghe Humber. 226.24.","Adelſtane leadeth an armie a|gainſt Aulafe, lying nyghe Humber. 226.24."
Adelstane,person,0.97,used elsewhere as a personal name,A,224.51.,"Adelstane subdueth Northumberland, and ioyneth it to his kingdome. 224.51.","Adelſtane ſubdueth Northum|berland, and ioyneth it to his kingdome. 224.51."
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,224.82.,"Adelstane sonne to King Edward, fleeth the Realme. 224.82.","Adelſtane ſonne to King Ed|ward, fleeth the Realme. 224.82."
Adelstane,person,0.97,used elsewhere as a personal name,A,225.20.,"Adelstane leadeth an armie against the Scottes, & welchmen. 225.20.","Adelſtane leadeth an armie a|gainſt the Scottes, & welch|men. 225.20."
Adelstane,person,0.97,used elsewhere as a personal name,A,225.67.,"Adelstane inuadeth Scotland with an armie, and wasteth it. 225.67.","Adelſtane inuadeth Scotland with an armie, and waſteth it. 225.67."
Adelstane,person,0.97,used elsewhere as a personal name,A,225.64.,"Adelstane offreth his knife to Saint Iohn of Beuerly, and redeemeth it with a large price. 225.64.","Adelſtane offreth his knife to Saint Iohn of Beuerly, and redeemeth it with a large price. 225.64."
Adelstane,person,0.97,used elsewhere as a personal name; kinship language,A,225.112.,"Adelstane repenteth him sore, of his rigor towards his brother Edwyn. 225.112.","Adelſtane repenteth him ſore, of his rigor towards his bro|ther Edwyn. 225.112."
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; holds a title over a place,A,209.72.,"Adelstane, Byshop of Shyreburne, departeth this lyfe. 209.72.","Adelſtane, Byſhop of Shyre|burne, departeth this lyfe. 209.72."
Adelstans,person,0.8,contextual verb evidence,A,,Adelstans swoorde restored to the s<?>bbard by myracle. <?>26.68.,Adelſtans ſwoorde reſtored to the ſ<?>bbard by myracle. <?>26.68.
Adelstane,person,0.97,used elsewhere as a personal name,A,226.106.,Adelstane departeth out of this world. 226.106.,Adelſtane departeth out of this world. 226.106.
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,223.104.,"Adelstane, eldest sonne to King Edward, beginneth hys raygne ouer the most part of England. 223.104.","Adelſtane, eldeſt ſonne to King Edward, beginneth hys raygne ouer the moſt part of England. 223.104."
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; biographical event,A,224.7.,"Adelstane crowned kyng, at Kingstone vppon Thames. 224.7.","Adelſtane crowned kyng, at Kingſtone vppon Thames. 224.7."
Adelstane,person,0.97,used elsewhere as a personal name; appointment to office,A,214.96.,"Adelstane, somtime called Gurthrun the Dane, made King of Eastangle. 214.96.","Adelſtane, ſomtime called Gur|thrun the Dane, made King of Eaſtangle. 214.96."
Adrian,person,0.97,used elsewhere as a personal name; described by rank/office,A,190.116.,Adrian Abbot departeth thys lyfe. 190.116.,Adrian Abbot departeth thys lyfe. 190.116.
Adrian,person,0.97,used elsewhere as a personal name; appointment to office,A,1436.30. restoreth good letters. ibidem.,"Adrian an Italian sent ambassador into Scotland is made bishop of Hereford, and after+ward of Welles, and Cardinal. 1436.30. restoreth good letters. ibidem.","Adrian an Italian ſent ambaſ|ſador into Scotland is made biſhop of Hereford, and after+ward of Welles, and Cardi|nal. 1436.30. reſtoreth good letters. ibidem."
Adrian,person,0.97,used elsewhere as a personal name; described by rank/office,A,198.63.,"Adrian Pope, sendeth Legates into England. 198.63.","Adrian Pope, ſendeth Legates into England. 198.63."
Adulf,person,0.93,described by rank/office; holds a title over a place,A,199.3.,"Adulf, Byshop of Myeth. 199.3.","Adulf, Byſhop of Myeth. 199.3."
Adelbert,person,0.7,used elsewhere as a personal name,A,199.25.,Adelbert succeedeth Egbert in the Archbishopricke of York. 199.25.,Adelbert ſucceedeth Egbert in the Archbiſhopricke of York. 199.25.
Adrian,person,0.97,used elsewhere as a personal name; described by rank/office,A,178.38.,Adrian sent into England with Archbishop Theodore. 178.38.,Adrian ſent into England with Archbiſhop Theodore. 178.38.
Adrian,person,0.65,used elsewhere as a personal name; located within a named region,A,178.44.,Adrian stayed in Fraunce. 178.44.,Adrian ſtayed in Fraunce. 178.44.
Adrian,person,0.94,used elsewhere as a personal name; described by rank/office; appointment to office,A,178.51.,Adrian made Abbot of the Monasterie of S. Augustines. 178.51.,Adrian made Abbot of the Mo|naſterie of S. Auguſtines. 178.51.
Adrian,person,0.91,used elsewhere as a personal name; described by rank/office,A,178.85.,"Adrian Abbot, excellent well learned. 178.85.","Adrian Abbot, excellent well learned. 178.85."
Adrian,person,0.92,used elsewhere as a personal name,A,76.49.,Adrian buildeth a wal between the Britaines and Scotes. 76.49.,Adrian buildeth a wal between the Britaines and Scotes. 76.49.
Adrian,person,0.97,used elsewhere as a personal name; described by rank/office,A,76.41.,"Adrian the Emperour passeth ouer into Britaine, and quieteth the Iland. 76.41.","Adrian the Emperour paſſeth ouer into Britaine, and qui|eteth the Iland. 76.41."
Adelwold,person,0.94,used elsewhere as a personal name,A,219.101.,Adelwold fleeth into Northumberland to the Danes. 219.101.,Adelwold fleeth into Northum|berland to the Danes. 219.101.
Adelwold,person,0.89,used elsewhere as a personal name,A,220.19,Adelwold entereth the parties of the East Angles with a nauie of the Danes. 220.19,Adelwold entereth the parties of the Eaſt Angles with a nauie of the Danes. 220.19
Adelwold,person,0.92,used elsewhere as a personal name; biographical event,A,220.44.,"Adelwold, and many of hys Danes slayne. 220.44.","Adelwold, and many of hys Danes ſlayne. 220.44."
Adelwold,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,219.94.,"Adelwold brother to King Edward surnamed the Elder taketh ye towne of Winbourne, & maryeth a Nũne. 219.94.","Adelwold brother to King Ed|ward ſurnamed the Elder ta|keth ye towne of Winbourne, & maryeth a Nũne. 219.94."
Adelme,person,0.7,used elsewhere as a personal name,A,224.8.,"Adelme, succeedeth Pleymond in the Archbyshoprick of Cãtorburie. 224.8.","Adelme, ſucceedeth Pleymond in the Archbyſhoprick of Cã|torburie. 224.8."
Adelme Erle,person,0.94,title of rank in name; used elsewhere as a personal name,A,193.71.,"Adelme Erle moueth a rebellion, against Cuthred King of West Saxons. 193.71.","Adelme Erle moueth a rebelli|on, againſt Cuthred King of Weſt Saxons. 193.71."
Adeline,person,0.8,contextual verb evidence,A,193.79.,"Adeline with his armie of rebelles, discomfited, and pardoned. 193.79.","Adeline with his armie of re|belles, diſcomfited, and par|doned. 193.79."
Adelward,uncertain,0.2,"proper name, but no clear signal",A,260.43.,Adelward put to death. 260.43.,Adelward put to death. 260.43.
Adelwold,person,0.97,used elsewhere as a personal name; described by rank/office; holds a title over a place,A,176.89.,"Adelwold, King of Sussex. 176.89.","Adelwold, King of Suſſex. 176.89."
Adelwold,person,0.97,used elsewhere as a personal name; described by rank/office; holds a title over a place,A,,"Adelwold, byshop of Winchester. <?>34.19.","Adelwold, byſhop of Winche|ſter. <?>34.19."
Adrian,person,0.97,used elsewhere as a personal name; described by rank/office; appointment to office,A,178.8.,Adrian refuseth to be made Archbyshop of Cantorburie 178.8.,Adrian refuſeth to be made Archbyſhop of Cantorburie 178.8.
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language; biographical event,A,222.113,"Adelstane, sonne to king Edward borne. 222.113","Adelſtane, ſonne to king Ed|ward borne. 222.113"
Adelstane,person,0.97,used elsewhere as a personal name; described by rank/office; appointment to office,A,223.56.,Adelstane ordeyned Byshop of Saint Germans in Cornwall. 223.56.,Adelſtane ordeyned Byſhop of Saint Germans in Corn|wall. 223.56.
Adolfe,person,0.91,described by rank/office; holds a title over a place,A,225.102.,"Adolfe, Earle of Bulleigne. 225.102.","Adolfe, Earle of Bulleigne. 225.102."
Adulfe,uncertain,0.45,mixed signals: used elsewhere as a personal name,A,224.53.,"Adulfe rebelling, is expulsed out of Northumberlande. 224.53.","Adulfe rebelling, is expulſed out of Northumberlande. 224.53."
Adulfe,person,0.61,used elsewhere as a personal name,A,177.4.,Adulfe succeedeth Edelwald in the kingdome of Eastangles. 177.4.,Adulfe ſucceedeth Edelwald in the kingdome of Eaſtangles. 177.4.
Adnothus,person,0.68,used elsewhere as a personal name; biographical event,A,299.28.,"Adnothus slaine in battayle, by Godwyn and Edmond the great. 299.28.","Adnothus ſlaine in battayle, by Godwyn and Edmond the great. 299.28."
Adarstone,uncertain,0.45,mixed signals: weak evidence,A,page. 1415. col. 1. line. 37. page. 1416. col. 2. line. 27.,Adarstone a little towne. page. 1415. col. 1. line. 37. page. 1416. col. 2. line. 27.,Adarſtone a little towne. page. 1415. col. 1. line. 37. page. 1416. col. 2. line. 27.
Aduentrers,uncertain,0.2,"proper name, but no clear signal",A,1522.5. &. 1529.10. &. 1531.30. &. 34. their ende. 1533.,Aduentrers. 1522.5. &. 1529.10. &. 1531.30. &. 34. their ende. 1533.,Aduentrers. 1522.5. &. 1529.10. &. 1531.30. &. 34. their ende. 1533.
Adethelme Erle,person,0.97,title of rank in name; biographical event,A,206.83,"Adethelme Erle, slayne by the Danes. 206.83","Adethelme Erle, ſlayne by the Danes. 206.83"
Aduersitie,uncertain,0.45,mixed signals: used elsewhere as a personal name,A,27<?>.64.,"Aduersitie promiseth more, then prosperitie meaneth to performe. 27<?>.64.","Aduerſitie promiſeth more, thẽ proſperitie meaneth to per|forme. 27<?>.64."
Adam,person,0.97,given name in entry; described by rank/office; holds a title over a place,A,873.53. b. his Oration to the armie. 879.16. b,Adam Byshop of Hereford arested. 873.53. b. his Oration to the armie. 879.16. b,Adam Byſhop of Hereford a|reſted. 873.53. b. his Ora|tion to the armie. 879.16. b
Adela,person,0.96,used elsewhere as a personal name; described by rank/office; kinship language,A,354.113.,"Adela, sister to king Henrie the first marryed to Stephen, Earle of Bloys. 354.113.","Adela, ſiſter to king Henrie the firſt marryed to Stephen, Earle of Bloys. 354.113."
Adela,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,475.15. &. 491.5.,"Adela, wife to king Richard the first forsaken, and sent home. 475.15. &. 491.5.","Adela, wife to king Richard the firſt forſaken, and ſent home. 475.15. &. 491.5."
Adela,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,438.116.,"Adela, daughter to the French King giuen in mariage to Richard sonne to King Henrie the second. 438.116.","Adela, daughter to the French King giuen in mariage to Richard ſonne to King Hen|rie the ſecond. 438.116."
Adam Banester,person,0.97,given name in entry; biographical event,A,854.19. a.,Adam Banester hanged. 854.19. a.,Adam Baneſter hanged. 854.19. a.
Adeline,person,0.8,described by rank/office; appointment to office,A,223.57.,"Adeline, ordeyned Byshop of Welles. 223.57.","Adeline, ordeyned Byſhop of Welles. 223.57."
Adeliza,person,0.95,used elsewhere as a personal name; described by rank/office; kinship language,A,283.<?>5.,"Adeliza, daughter to Duke William of Normãdie. 283.<?>5.","Adeliza, daughter to Duke Wil|liam of Normãdie. 283.<?>5."
Ada,person,0.97,kinship language; appointment to office,A,140.59.,"Ada, the sonne of Ida, created King of Brenitia. 140.59.","Ada, the ſonne of Ida, created King of Brenitia. 140.59."
Adelicia,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,358.26.,"Adelicia, daughter to the Duke of Lor<?>yne, marryed to king Henrie the first. 358.26.","Adelicia, daughter to the Duke of Lor<?>yne, marryed to king Henrie the firſt. 358.26."
Ae<?>woo<?>e,uncertain,0.2,"proper name, but no clear signal",A,,"Ae<?>woo<?>e, looke, Eltwold.","Ae<?>woo<?>e, looke, Eltwold."
Aetius,uncertain,0.2,"proper name, but no clear signal",A,121.63.,Aetius put to death. 121.63.,Aetius put to death. 121.63.
Aetius,person,0.91,described by rank/office; holds a title over a place,A,101.47.,Aetius gouernour of Fraunce vnder Honorius the Emperour. 101.47.,Aetius gouernour of Fraunce vnder Honorius the Empe|rour. 101.47.
Affrica,place,0.81,used elsewhere as a location,A,1.77.,Affrica alotted vnto Cham. 1.77.,Affrica alotted vnto Cham. 1.77.
Agriculas,uncertain,0.2,"proper name, but no clear signal",A,69.9.,Agriculas gouernment <?>th commended. 69.9.,Agriculas gouernment <?>th commended. 69.9.
Agricula,person,0.86,described by rank/office,A,68.57.,Agricula sent Lieutenant into Britaine. 68.57.,Agricula ſent Lieutenant into Britaine. 68.57.
Agricolas,uncertain,0.45,mixed signals: weak evidence,A,69.4.,Agricolas fame groweth by neglecting it. 69.4.,Agricolas fame groweth by neglecting it. 69.4.
Agricola,person,0.9,used elsewhere as a personal name,A,73.69.,Agricola <?> <?>mmaunded home to Rome by Domitianus. 73.69.,Agricola <?> <?>mmaunded home to Rome by Domitianus. 73.69.
Age of Arthur,person,0.97,given name in entry; described by rank/office; holds a title over a place,A,543.27.,Age of Arthur Duke of Britaine. 543.27.,Age of Arthur Duke of Bri|taine. 543.27.
Ager Anthonie,person,0.97,given name in entry; described by rank/office; biographical event,A,1771.30,Ager Anthonie knight is slaine fighting valiantly. 1771.30,Ager Anthonie knight is ſlaine fighting valiantly. 1771.30
Agilbertus,person,0.96,used elsewhere as a personal name; appointment to office,A,171.74.,"Agilbertus returneth into Fraunce, and is made Byshop of Paris. 171.74.","Agilbertus returneth into Fraunce, and is made By|ſhop of Paris. 171.74."
Aguell Henrie,person,0.84,given name in entry; used elsewhere as a personal name,A,411.94.,"Aguell Henrie, drowned in a tempest. 411.94.","Aguell Henrie, drowned in a tempeſt. 411.94."
Agnexus,person,0.81,described by rank/office,A,210.77.,"Agnexus and Hubbo brethren, chosen captaines of y Danes 210.77.","Agnexus and Hubbo brethren, choſen captaines of y Danes 210.77."
Agnes,person,0.9,given name in entry; used elsewhere as a personal name; kinship language; biographical event,A,288.116.,"Agnes, daughter to Hugh le Grand, Earle of Paris, maried to Richard the seconde Duke of Normandie. 288.116.","Agnes, daughter to Hugh le Grand, Earle of Paris, ma|ried to Richard the ſeconde Duke of Normandie. 288.116."
Agencourt battell,place,0.95,place-type word in name; used elsewhere as a location,A,page. 1178 col. 2. line. 14.,Agencourt battell. page. 1178 col. 2. line. 14.,Agencourt battell. page. 1178 col. 2. line. 14.
Aganippus,person,0.87,used elsewhere as a personal name; described by rank/office; kinship language,A,19.113.,"Aganippus, one of the Princes of Fraunce, marrieth Corddilla, youngest daughter to Leix. 19.113.","Aganippus, one of the Princes of Fraunce, marrieth Cord|dilla, youngeſt daughter to Leix. 19.113."
Agendis,place,0.8,contextual verb evidence,A,876.38. b.,Agendis recouered from the Frenche. 876.38. b.,Agendis recouered from the Frenche. 876.38. b.
Agatha,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,259.34.,"Agatha, daughter to Henrie the Emperour, marryed to Edward, sonne to king Edmond. 259.34.","Agatha, daughter to Henrie the Emperour, marryed to Ed|ward, ſonne to king Ed|mond. 259.34."
Agnes,person,0.71,given name in entry; used elsewhere as a personal name; located within a named region,A,242.15,"Agnes hote burning, vexe the people in England. 242.15","Agnes hote burning, vexe the people in England. 242.15"
Aganippus,person,0.86,used elsewhere as a personal name,A,20.41.,"Aganippus passeth into Britaine with an armie, and restoreth Lei<?> to his kingdome. 20.41.","Aganippus paſſeth into Bri|taine with an armie, and re|ſtoreth Lei<?> to his king|dome. 20.41."
Agelnothus,person,0.91,described by rank/office; holds a title over a place,A,297.13.,"Agelnothus, Abbot of Glastenburie. 297.13.","Agelnothus, Abbot of Glaſten|burie. 297.13."
Agathyrses,uncertain,0.2,"proper name, but no clear signal",A,13.89.,"Agathyrses, otherwise called Pictes. 13.89.","Agathyrſes, otherwiſe called Pictes. 13.89."
Agilbeetus,person,0.9,described by rank/office,A,171.61.,Agilbeetus Byshop commeth into England. 171.61.,Agilbeetus Byſhop commeth into England. 171.61.
Ayre,uncertain,0.45,mixed signals: used elsewhere as a location,A,353.29.,Ayre appeareth red and burning. 353.29.,Ayre appeareth red and bur|ning. 353.29.
Apre Riuar,uncertain,0.2,"proper name, but no clear signal",A,page. 1310. col. 2. line. 40.,Apre Riuar. page. 1310. col. 2. line. 40.,Apre Riuar. page. 1310. col. 2. line. 40.
Aiguillon,uncertain,0.2,"proper name, but no clear signal",A,928.7. b.,Aiguillon beseged by the French+men. 928.7. b.,Aiguillon beſeged by the Frẽch+men. 928.7. b.
Aimouth,uncertain,0.2,"proper name, but no clear signal",A,1779.10.,Aimouth furtifyed. 1779.10.,Aimouth furtifyed. 1779.10.
Akalon,place,0.84,contextual verb evidence,A,11.37.,"Akalon, a riuer in Greece. 11.37.","Akalon, a riuer in Greece. 11.37."
Aldred,person,0.87,described by rank/office; biographical event,A,201.68.,"Aldred, murtherer of king Ethelbert, slayne. 201.68.","Aldred, murtherer of king E|thelbert, ſlayne. 201.68."
Alrick,person,0.97,used elsewhere as a personal name; kinship language; biographical event,A,201.74.,"Alrick, sonne to Herbert, slayne. 201.74.","Alrick, ſonne to Herbert, ſlayne. 201.74."
Alured,person,0.95,used elsewhere as a personal name,A,214.4.,Alured constrained by ye Danes to flie into the fennes of Somersethire. 214.4.,Alured conſtrained by ye Danes to flie into the fennes of So|merſethire. 214.4.
Alured,person,0.97,used elsewhere as a personal name,A,214.54.,"Alured setteth sodainly vppon the Danes, and slayeth them 214.54.","Alured ſetteth ſodainly vppon the Danes, and ſlayeth them 214.54."
Alfred,person,0.81,used elsewhere as a personal name; kinship language; located within a named region,A,264.15. & .265.47.,"Alfred, sonne to Egelredus, arriueth in England with a great power to obtayne the crowne. 264.15. & .265.47.","Alfred, ſonne to Egelredus, ar|riueth in England with a great power to obtayne the crowne. 264.15. & .265.47."
Alureds,person,0.97,used elsewhere as a personal name; biographical event,A,264.27.,"Alureds armie slaine by the Post, nyne slayne, and the .x. preserued. 264.27.","Alureds armie ſlaine by the Poſt, nyne ſlayne, and the .x. preſerued. 264.27."
Alureds,person,0.81,used elsewhere as a personal name,A,264.32. & .265.98.,Alureds eyes put out. 264.32. & .265.98.,Alureds eyes put out. 264.32. & .265.98.
Alured,person,0.97,used elsewhere as a personal name; biographical event,A,264.34.,Alured dyeth. 264.34.,Alured dyeth. 264.34.
Alureds,person,0.81,used elsewhere as a personal name,A,266.7.,"Alureds cruell death, and torments. 266.7.","Alureds cruell death, and tor|ments. 266.7."
Alfrike,person,0.97,used elsewhere as a personal name; described by rank/office; holds a title over a place,A,267.1.,"Alfrike, Archbyshop of Yorke. 267.1.","Alfrike, Archbyſhop of Yorke. 267.1."
Alfred,person,0.97,used elsewhere as a personal name,A,269.20,Alfred helpeth to expulse the Danes. 269.20,Alfred helpeth to expulſe the Danes. 269.20
Alwine,person,0.84,described by rank/office; biographical event,A,269.59.,"Alwine or Adwine, Byshop of Winchester, accused of incontinencie with Queene Emma, and imprisoned. 269.59.","Alwine or Adwine, Byſhop of Wincheſter, accuſed of in|continencie with Queene Emma, and impriſoned. 269.59."
Alered,person,0.93,described by rank/office; holds a title over a place,A,270.22.,"Alered, Archbyshop of Yorke, obtaineth pardon for Swaine 270.22.","Alered, Archbyſhop of Yorke, obtaineth pardõ for Swaine 270.22."
Algar,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,272.23.,"Algar, sonne to Earle Leofrike. 272.23.","Algar, ſonne to Earle Leo|frike. 272.23."
Algar,person,0.97,used elsewhere as a personal name; described by rank/office; appointment to office,A,275.6.,Algar made Earle of Oxford. 275.6.,Algar made Earle of Oxford. 275.6.
Aldred,person,0.97,described by rank/office; holds a title over a place; kinship language,A,276.1.,"Aldred Byshop of Worceter, sent for Edward, sonne to King Edmond Ironside. 276.1.","Aldred Byſhop of Worceter, ſent for Edward, ſonne to King Edmond Ironſide. 276.1."
Algar,person,0.92,used elsewhere as a personal name; biographical event,A,276.13.,Algar banished the Realme. 276.13.,Algar baniſhed the Realme. 276.13.
Algar,person,0.95,used elsewhere as a personal name,A,276.16.,"Algar ioyning himselfe to the Welchme, inuadeth the Enlishe borders wyth a nauie. 276.16.","Algar ioyning himſelfe to the Welchme, inuadeth the En|liſhe borders wyth a nauie. 276.16."
Algar,person,0.97,used elsewhere as a personal name,A,276.58.,"Algar pardoned, and restored to his Earldome. 276.58.","Algar pardoned, and reſtored to his Earldome. 276.58."
Algar,person,0.93,used elsewhere as a personal name; kinship language,A,277.39.,"Algar succedeth his father in the Earldome of Chester, and Mercia. 277.39.","Algar ſuccedeth his father in the Earldome of Cheſter, and Mercia. 277.39."
Algar,person,0.97,used elsewhere as a personal name,A,277. 41.,"Algar accused of treason, and agayne exiled the land. 277. 41.","Algar accuſed of treaſon, and agayne exiled the land. 277. 41."
Algar,person,0.97,used elsewhere as a personal name,A,277.50.,"Algar returneth into England with a power of men, and recouereth his Earldome by force. 277.50.","Algar returneth into England with a power of men, and re|couereth his Earldome by force. 277.50."
Albania,place,0.74,used elsewhere as a location,A,16.48.,"Albania lyeth Northward, beyonde Humber. 16.48.","Albania lyeth Northward, be|yonde Humber. 16.48."
Albion,uncertain,0.45,mixed signals: weak evidence,A,5.45. & .6.30.,"Albion, when this Iland first so called. 5.45. & .6.30.","Albion, when this Iland firſt ſo called. 5.45. & .6.30."
Alderman of London,uncertain,0.45,mixed signals: title of rank in name; used elsewhere as a location,A,1009.19. b.,Alderman of London setteth forth a fleete. 1009.19. b.,Alderman of London ſetteth forth a fleete. 1009.19. b.
Alchfled,person,0.95,used elsewhere as a personal name; described by rank/office; kinship language,A,172.21.,"Alchfled, daughter to king Oswy. 172.21.","Alchfled, daughter to king Oſ|wy. 172.21."
Alfwen,person,0.92,used elsewhere as a personal name; kinship language,A,222.55.,"Alfwen, daughter to Ethelfleda disinherited. 222.55.","Alfwen, daughter to Ethelfleda diſinherited. 222.55."
